mem_no,gender,birthday,addr,join_date
1000001,man,1942-07-27,Seoul,2019-04-30
1000002,man,1983-08-21,Seoul,2019-04-30
1000004,man,1955-01-24,Busan,2019-05-05
1000005,man,1955-03-14,Daejeon,2019-05-05
1000006,man,1955-03-21,Jeju,2019-05-05
1000010,man,1955-05-02,Jeju,2019-05-06
1000011,man,1955-08-03,Daegu,2019-05-06
1000012,man,1955-11-10,Gwangju,2019-05-06
1000013,man,1956-02-03,Seoul,2019-05-06
1000014,man,1956-02-06,Seoul,2019-05-06
1000015,man,1956-05-19,Incheon,2019-05-06
1000019,man,1996-05-26,Jeju,2019-05-06
1000020,man,1996-08-27,Daegu,2019-05-06
1000021,man,1996-12-04,Gwangju,2019-05-06
1000022,man,1997-02-27,Seoul,2019-05-06
1000023,man,1997-03-02,Seoul,2019-05-06
1000024,man,1997-06-13,Incheon,2019-05-06
1000025,man,1997-06-27,Seoul,2019-05-06
1000026,man,1997-08-08,Daegu,2019-05-06
1000027,man,1997-09-29,Incheon,2019-05-06
1000045,man,1959-08-24,Gwangju,2019-05-14
1000046,man,1960-01-17,Incheon,2019-05-14
1000047,man,1960-09-10,Gyeonggi,2019-05-14
1000048,man,1960-09-23,Gyeonggi,2019-05-14
1000055,man,1995-04-20,Seoul,2019-05-14
1000056,man,1995-07-07,Seoul,2019-05-14
1000057,man,1995-07-07,Seoul,2019-05-14
1000058,man,1996-01-12,Seoul,2019-05-14
1000059,man,1996-04-14,Gyeonggi,2019-05-14
1000060,man,1996-04-27,Gyeonggi,2019-05-14
1000061,man,2000-10-10,Seoul,2019-05-14
1000062,man,2000-12-27,Seoul,2019-05-14
1000066,man,2001-10-05,Gyeonggi,2019-05-14
1000067,man,2001-10-18,Gyeonggi,2019-05-14
1000068,man,1966-10-16,Jeju,2019-06-08
1000069,man,1966-10-18,Daegu,2019-06-08
1000070,man,2002-05-10,Jeju,2019-06-08
1000071,man,2002-05-20,Jeju,2019-06-08
1000072,man,2002-05-22,Daegu,2019-06-08
1000073,man,2007-10-31,Jeju,2019-06-08
1000074,man,2007-11-10,Jeju,2019-06-08
1000075,man,2007-11-12,Daegu,2019-06-08
1000076,man,1966-10-24,Gwangju,2019-06-09
1000077,man,1966-10-31,Seoul,2019-06-09
1000078,man,1967-02-04,Seoul,2019-06-09
1000079,man,1967-04-08,Incheon,2019-06-09
1000088,man,2002-05-28,Gwangju,2019-06-09
1000089,man,2002-06-04,Seoul,2019-06-09
1000090,man,2002-09-08,Seoul,2019-06-09
1000091,man,2002-11-10,Incheon,2019-06-09
1000092,man,2007-11-18,Gwangju,2019-06-09
1000093,man,2007-11-25,Seoul,2019-06-09
1000094,man,2008-02-29,Seoul,2019-06-09
1000095,man,2008-05-02,Incheon,2019-06-09
1000096,man,1967-05-06,Seoul,2019-06-11
1000097,man,1967-05-29,Incheon,2019-06-11
1000098,man,1967-06-06,Seoul,2019-06-11
1000099,man,1967-07-21,Seoul,2019-06-11
1000100,man,1967-10-01,Gyeonggi,2019-06-11
1000101,man,1968-02-13,Gyeonggi,2019-06-11
1000105,man,2002-12-08,Seoul,2019-06-11
1000106,man,2002-12-31,Incheon,2019-06-11
1000107,man,2003-01-08,Seoul,2019-06-11
1000108,man,2003-02-22,Seoul,2019-06-11
1000109,man,2003-05-05,Gyeonggi,2019-06-11
1000110,man,2008-05-30,Seoul,2019-06-11
1000111,man,2008-06-22,Incheon,2019-06-11
1000112,man,2008-06-30,Seoul,2019-06-11
1000113,man,2008-08-14,Seoul,2019-06-11
1000131,man,1969-09-04,Gyeonggi,2019-07-01
1000132,man,1969-09-09,Gangwon,2019-07-01
1000133,man,1969-09-14,Seoul,2019-07-01
1000134,man,1969-10-11,Gyeonggi,2019-07-01
1000135,man,1969-12-15,Gyeonggi,2019-07-01
1000136,man,1970-01-09,Gangwon,2019-07-01
1000137,man,1970-02-24,Busan,2019-07-01
1000138,man,1970-04-07,Daejeon,2019-07-01
1000149,man,2005-04-08,Gyeonggi,2019-07-01
1000150,man,2005-04-13,Gangwon,2019-07-01
1000151,man,2005-04-18,Seoul,2019-07-01
1000152,man,2005-05-15,Gyeonggi,2019-07-01
1000153,man,2005-07-19,Gyeonggi,2019-07-01
1000154,man,2005-08-13,Gangwon,2019-07-01
1000155,man,2005-09-28,Busan,2019-07-01
1000156,man,2005-11-09,Daejeon,2019-07-01
1000157,man,2010-09-29,Gyeonggi,2019-07-01
1000158,man,2010-10-04,Gangwon,2019-07-01
1000159,man,2010-10-09,Seoul,2019-07-01
1000160,man,2010-11-05,Gyeonggi,2019-07-01
1000161,man,2011-01-09,Gyeonggi,2019-07-01
1000162,man,2011-02-03,Gangwon,2019-07-01
1000163,man,2011-03-21,Busan,2019-07-01
1000164,man,2011-05-02,Daejeon,2019-07-01
1000165,man,1970-05-06,Jeju,2019-07-04
1000169,man,2005-12-08,Jeju,2019-07-04
1000170,man,2011-05-31,Jeju,2019-07-04
1000185,man,1995-03-28,Jeju,2019-07-05
1000186,man,1995-03-28,Jeju,2019-07-05
1000187,man,1995-03-28,Jeju,2019-07-05
1000188,man,1995-04-20,Daegu,2019-07-05
1000189,man,1995-04-20,Daegu,2019-07-05
1000190,man,1995-04-20,Daegu,2019-07-05
1000207,man,1970-11-19,Seoul,2019-07-09
1000208,man,1970-12-31,Gyeonggi,2019-07-09
1000209,man,1971-01-14,Gyeonggi,2019-07-09
1000210,man,1971-01-21,Gangwon,2019-07-09
1000211,man,1971-02-09,Busan,2019-07-09
1000212,man,1971-03-12,Daejeon,2019-07-09
1000213,man,1971-03-16,Jeju,2019-07-09
1000214,man,1971-03-18,Jeju,2019-07-09
1000215,man,1971-03-20,Daegu,2019-07-09
1000216,man,2011-12-14,Seoul,2019-07-09
1000217,man,1971-04-17,Gwangju,2019-07-13
1000218,man,1971-05-06,Seoul,2019-07-13
1000219,man,1971-05-07,Seoul,2019-07-13
1000220,man,1971-05-25,Incheon,2019-07-13
1000221,man,1971-06-01,Seoul,2019-07-13
1000222,man,1971-06-15,Daegu,2019-07-13
1000223,man,1971-07-07,Incheon,2019-07-13
1000224,man,1971-07-18,Seoul,2019-07-13
1000225,man,1971-08-10,Daegu,2019-07-14
1000226,man,1971-08-28,Seoul,2019-07-17
1000227,man,1971-08-29,Gyeonggi,2019-07-17
1000228,man,1971-09-10,Gyeonggi,2019-07-17
1000229,man,1971-09-30,Gangwon,2019-07-17
1000230,man,1971-10-25,Seoul,2019-07-17
1000231,man,1971-11-02,Gyeonggi,2019-07-17
1000232,man,1971-11-16,Gyeonggi,2019-07-17
1000233,man,1971-12-23,Gangwon,2019-07-17
1000243,man,1972-03-09,Seoul,2019-07-24
1000244,man,1972-03-24,Daegu,2019-07-24
1000245,man,1972-03-26,Seoul,2019-07-24
1000246,man,1972-04-01,Gyeonggi,2019-07-24
1000247,man,1972-04-07,Gyeonggi,2019-07-24
1000256,man,1972-07-26,Seoul,2019-07-29
1000258,man,1972-08-07,Seoul,2019-07-29
1000260,man,1972-08-23,Incheon,2019-07-29
1000262,man,1972-09-04,Daegu,2019-07-29
1000274,man,1973-04-08,Jeju,2019-08-06
1000275,man,1973-04-10,Daegu,2019-08-06
1000276,man,1973-04-15,Gwangju,2019-08-06
1000277,man,1973-04-16,Seoul,2019-08-06
1000278,man,1973-05-09,Seoul,2019-08-08
1000279,man,1973-05-11,Incheon,2019-08-08
1000280,man,1973-05-13,Seoul,2019-08-08
1000281,man,1973-05-17,Daegu,2019-08-08
1000282,man,1973-05-18,Seoul,2019-08-08
1000283,man,1973-05-27,Gyeonggi,2019-08-10
1000284,man,1973-06-04,Gyeonggi,2019-08-10
1000285,man,1973-06-09,Gangwon,2019-08-10
1000286,man,1973-07-03,Busan,2019-08-10
1000287,man,1973-07-17,Daejeon,2019-08-13
1000288,man,1973-07-21,Jeju,2019-08-13
1000289,man,1973-07-26,Jeju,2019-08-13
1000290,man,1973-08-18,Daegu,2019-08-13
1000291,man,1973-08-24,Gwangju,2019-08-13
1000292,man,1973-09-13,Seoul,2019-08-14
1000293,man,1973-09-22,Seoul,2019-08-14
1000294,man,1973-09-26,Incheon,2019-08-14
1000295,man,1973-10-08,Seoul,2019-08-14
1000297,man,1973-11-19,Incheon,2019-08-18
1000299,man,1973-12-11,Daegu,2019-08-18
1000301,man,1973-12-23,Gyeonggi,2019-08-18
1000303,man,1974-01-16,Gangwon,2019-08-18
1000305,man,1974-02-08,Gyeonggi,2019-08-18
1000316,man,1974-05-04,Incheon,2019-08-26
1000317,man,1974-05-11,Seoul,2019-08-26
1000318,man,1974-05-12,Daegu,2019-08-26
1000319,man,1974-05-28,Seoul,2019-08-26
1000320,man,1974-05-29,Gyeonggi,2019-08-26
1000321,man,1974-06-05,Gyeonggi,2019-08-28
1000322,man,1974-07-17,Gangwon,2019-08-28
1000323,man,1974-07-25,Busan,2019-08-28
1000324,man,1974-07-26,Daejeon,2019-08-28
1000325,man,1974-08-08,Jeju,2019-08-28
1000336,man,1974-11-21,Daegu,2019-09-03
1000337,man,1974-11-29,Seoul,2019-09-03
1000338,man,1974-12-09,Gyeonggi,2019-09-03
1000339,man,1974-12-10,Gyeonggi,2019-09-03
1000340,man,1974-12-14,Gangwon,2019-09-03
1000341,man,1974-12-25,Seoul,2019-09-07
1000343,man,1975-01-16,Gyeonggi,2019-09-07
1000345,man,1975-02-16,Busan,2019-09-07
1000347,man,1975-03-04,Jeju,2019-09-07
1000349,man,1975-03-16,Daegu,2019-09-07
1000351,man,1975-03-21,Seoul,2019-09-11
1000352,man,1975-04-13,Seoul,2019-09-11
1000353,man,1975-04-23,Incheon,2019-09-11
1000354,man,1975-04-26,Seoul,2019-09-11
1000355,man,1975-05-15,Daegu,2019-09-11
1000356,man,1975-06-26,Seoul,2019-09-12
1000357,man,1975-06-29,Gyeonggi,2019-09-12
1000358,man,1975-07-05,Gyeonggi,2019-09-12
1000359,man,1975-07-15,Gangwon,2019-09-12
1000360,man,1975-07-16,Busan,2019-09-12
1000366,man,1975-09-28,Seoul,2019-09-17
1000367,man,1975-10-06,Seoul,2019-09-17
1000368,man,1975-10-09,Incheon,2019-09-17
1000369,man,1975-10-16,Seoul,2019-09-17
1000370,man,1975-10-17,Daegu,2019-09-17
1000376,man,1976-01-09,Gyeonggi,2019-09-22
1000377,man,1976-01-15,Gangwon,2019-09-22
1000378,man,1976-01-21,Seoul,2019-09-22
1000379,man,1976-01-25,Gyeonggi,2019-09-22
1000380,man,1976-01-28,Gyeonggi,2019-09-22
1000381,man,1976-02-07,Gangwon,2019-09-23
1000382,man,1976-02-12,Busan,2019-09-23
1000383,man,1976-02-14,Daejeon,2019-09-23
1000384,man,1976-02-21,Jeju,2019-09-23
1000385,man,1976-02-29,Jeju,2019-09-23
1000415,man,1954-01-14,Gyeonggi,2019-10-03
1000416,man,1954-01-17,Gyeonggi,2019-10-03
1000417,man,1954-02-17,Gangwon,2019-10-03
1000418,man,1995-03-14,Gangwon,2019-10-03
1000419,man,1955-01-24,Busan,2019-10-05
1000420,man,1955-03-14,Daejeon,2019-10-05
1000421,man,1955-03-21,Jeju,2019-10-05
1000422,man,1996-02-18,Busan,2019-10-05
1000423,man,1996-04-07,Daejeon,2019-10-05
1000424,man,1996-04-14,Jeju,2019-10-05
1000425,man,1955-05-02,Jeju,2019-10-06
1000426,man,1955-08-03,Daegu,2019-10-06
1000427,man,1955-11-10,Gwangju,2019-10-06
1000428,man,1956-02-03,Seoul,2019-10-06
1000429,man,1956-02-06,Seoul,2019-10-06
1000430,man,1956-05-19,Incheon,2019-10-06
1000431,man,1956-06-02,Seoul,2019-10-06
1000432,man,1956-07-14,Daegu,2019-10-06
1000433,man,1956-09-04,Incheon,2019-10-06
1000434,man,1996-05-26,Jeju,2019-10-06
1000435,man,1996-08-27,Daegu,2019-10-06
1000436,man,1996-12-04,Gwangju,2019-10-06
1000437,man,1997-02-27,Seoul,2019-10-06
1000438,man,1997-03-02,Seoul,2019-10-06
1000439,man,1997-06-13,Incheon,2019-10-06
1000440,man,1997-06-27,Seoul,2019-10-06
1000441,man,1997-08-08,Daegu,2019-10-06
1000442,man,1997-09-29,Incheon,2019-10-06
1000502,man,1959-08-24,Gwangju,2019-10-14
1000503,man,1959-09-16,Seoul,2019-10-14
1000504,man,1959-12-03,Seoul,2019-10-14
1000505,man,1960-01-17,Incheon,2019-10-14
1000506,man,1960-02-01,Seoul,2019-10-14
1000507,man,1960-03-16,Daegu,2019-10-14
1000508,man,1960-06-09,Seoul,2019-10-14
1000509,man,1960-09-10,Gyeonggi,2019-10-14
1000510,man,1960-09-23,Gyeonggi,2019-10-14
1000520,man,1995-03-28,Gwangju,2019-10-14
1000521,man,1995-03-28,Gwangju,2019-10-14
1000522,man,1995-03-28,Gwangju,2019-10-14
1000523,man,1995-03-28,Gwangju,2019-10-14
1000524,man,1995-04-20,Seoul,2019-10-14
1000525,man,1995-04-20,Seoul,2019-10-14
1000526,man,1995-04-20,Seoul,2019-10-14
1000527,man,1995-04-20,Seoul,2019-10-14
1000528,man,1995-07-07,Seoul,2019-10-14
1000529,man,1995-07-07,Seoul,2019-10-14
1000530,man,1996-01-12,Seoul,2019-10-14
1000531,man,1996-04-14,Gyeonggi,2019-10-14
1000532,man,1996-04-27,Gyeonggi,2019-10-14
1000533,man,2000-09-17,Gwangju,2019-10-14
1000534,man,2000-10-10,Seoul,2019-10-14
1000535,man,2000-12-27,Seoul,2019-10-14
1000536,man,2001-02-10,Incheon,2019-10-14
1000537,man,2001-02-25,Seoul,2019-10-14
1000538,man,2001-04-10,Daegu,2019-10-14
1000539,man,2001-07-04,Seoul,2019-10-14
1000540,man,2001-10-05,Gyeonggi,2019-10-14
1000541,man,2001-10-18,Gyeonggi,2019-10-14
1000542,man,1960-11-05,Gangwon,2019-10-15
1000543,man,1960-12-08,Busan,2019-10-15
1000544,man,1961-02-10,Daejeon,2019-10-15
1000545,man,1996-06-09,Gangwon,2019-10-15
1000546,man,1996-07-12,Busan,2019-10-15
1000547,man,1996-09-14,Daejeon,2019-10-15
1000548,man,2001-11-30,Gangwon,2019-10-15
1000549,man,2002-01-02,Busan,2019-10-15
1000550,man,2002-03-07,Daejeon,2019-10-15
1000551,man,1961-02-15,Jeju,2019-10-18
1000552,man,1961-02-18,Jeju,2019-10-18
1000553,man,1961-05-21,Daegu,2019-10-18
1000554,man,1961-07-13,Gwangju,2019-10-18
1000555,man,1961-08-19,Seoul,2019-10-18
1000556,man,1961-09-13,Seoul,2019-10-18
1000557,man,1961-09-22,Incheon,2019-10-18
1000558,man,1961-09-23,Seoul,2019-10-18
1000559,man,1961-11-29,Daegu,2019-10-18
1000560,man,1961-12-14,Incheon,2019-10-18
1000561,man,1961-12-23,Seoul,2019-10-18
1000562,man,1962-01-09,Daegu,2019-10-18
1000577,man,1995-03-28,Incheon,2019-10-18
1000578,man,1995-03-28,Incheon,2019-10-18
1000579,man,1995-03-28,Incheon,2019-10-18
1000580,man,1995-04-20,Seoul,2019-10-18
1000581,man,1995-04-20,Seoul,2019-10-18
1000582,man,1995-04-20,Seoul,2019-10-18
1000583,man,1996-09-19,Jeju,2019-10-18
1000584,man,1996-09-22,Jeju,2019-10-18
1000585,man,1996-12-23,Daegu,2019-10-18
1000586,man,1997-02-14,Gwangju,2019-10-18
1000587,man,1997-03-23,Seoul,2019-10-18
1000588,man,1997-04-17,Seoul,2019-10-18
1000589,man,1997-04-26,Incheon,2019-10-18
1000590,man,1997-04-27,Seoul,2019-10-18
1000591,man,1997-07-03,Daegu,2019-10-18
1000592,man,1997-07-18,Incheon,2019-10-18
1000593,man,1997-07-27,Seoul,2019-10-18
1000594,man,1997-08-13,Daegu,2019-10-18
1000595,man,2002-03-12,Jeju,2019-10-18
1000596,man,2002-03-15,Jeju,2019-10-18
1000597,man,2002-06-15,Daegu,2019-10-18
1000598,man,2002-08-07,Gwangju,2019-10-18
1000599,man,2002-09-13,Seoul,2019-10-18
1000600,man,2002-10-08,Seoul,2019-10-18
1000601,man,2002-10-17,Incheon,2019-10-18
1000602,man,2002-10-18,Seoul,2019-10-18
1000603,man,2002-12-24,Daegu,2019-10-18
1000604,man,2003-01-08,Incheon,2019-10-18
1000605,man,2003-01-17,Seoul,2019-10-18
1000606,man,2003-02-03,Daegu,2019-10-18
1000607,man,1962-01-17,Seoul,2019-10-19
1000608,man,1962-01-30,Gyeonggi,2019-10-19
1000609,man,1962-02-09,Gyeonggi,2019-10-19
1000610,man,1997-08-21,Seoul,2019-10-19
1000611,man,1997-09-03,Gyeonggi,2019-10-19
1000612,man,1997-09-13,Gyeonggi,2019-10-19
1000613,man,2003-02-11,Seoul,2019-10-19
1000614,man,2003-02-24,Gyeonggi,2019-10-19
1000615,man,2003-03-06,Gyeonggi,2019-10-19
1000637,man,1962-08-15,Gangwon,2019-10-21
1000638,man,1962-10-22,Busan,2019-10-21
1000639,man,1962-12-20,Daejeon,2019-10-21
1000640,man,1998-03-19,Gangwon,2019-10-21
1000641,man,1998-05-26,Busan,2019-10-21
1000642,man,1998-07-24,Daejeon,2019-10-21
1000643,man,2003-09-09,Gangwon,2019-10-21
1000644,man,2003-11-16,Busan,2019-10-21
1000645,man,2004-01-14,Daejeon,2019-10-21
1000648,man,1963-05-07,Daegu,2019-10-22
1000649,man,1963-05-11,Gwangju,2019-10-22
1000650,man,1963-06-10,Seoul,2019-10-22
1000651,man,1963-08-06,Seoul,2019-10-22
1000652,man,1963-09-10,Incheon,2019-10-22
1000653,man,1963-09-27,Seoul,2019-10-22
1000654,man,1963-11-05,Daegu,2019-10-22
1000655,man,1963-11-20,Seoul,2019-10-22
1000671,man,1995-03-28,Daegu,2019-10-22
1000672,man,1995-03-28,Daegu,2019-10-22
